,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.4997,1.1993,2,0.4831,0.5414,0.558,0,2.2071,-0.75,-0.3748,0.1249,5,3U1D,1.0,True,0.509,0,False,left,-0.05,1.6528,1.7278,0.075,0.4112,1.0527,0.6415,A
1,0.4997,0.0999,2,0.5414,0.4581,0.7163,1,2.3154,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,4.587,0,False,left,0.05,1.8704,1.9204,0.05,0.4703,1.1118,0.6415,A
2,0.4997,1.1993,1,0.6496,0.4498,0.6413,2,3.1149,0.75,0.3748,0.8745,5,3D1U,1.0,True,1.955,0,False,left,0.0,0.6087,1.5748,0.966,2.1745,2.766,0.5915,V
3,0.4997,0.0999,2,0.4914,0.5664,0.5664,3,3.0234,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,2.401,0,False,right,-0.05,1.6694,2.5191,0.8497,0.4193,1.0612,0.6419,V
4,0.4997,1.1993,1,0.5664,0.5997,0.683,4,2.4737,-0.75,-0.3748,0.1249,5,2U1D,2.0,True,1.956,0,False,right,0.05,0.5227,0.7395,0.2168,1.3564,1.998,0.6417,A
5,0.4997,0.0999,1,0.4831,0.5081,0.8495,5,2.4653,-0.75,-0.3748,0.1249,5,3U1D,2.0,True,1.736,0,False,right,0.0,0.44,0.6564,0.2164,1.4648,2.0564,0.5916,A
6,0.4997,0.0999,2,0.6247,0.583,0.6247,6,3.2066,0.75,0.3748,0.8745,5,2D1U,2.0,True,2.345,0,False,right,-0.05,1.8609,2.6859,0.825,0.5527,1.1944,0.6417,A
7,0.4997,0.0999,2,0.4747,0.4747,0.633,7,2.9566,0.75,0.3748,0.8745,5,2D1U,2.0,True,0.175,0,False,right,0.05,1.7204,2.5449,0.8245,0.4036,1.0452,0.6416,A
8,0.4997,1.1993,1,0.4081,0.633,0.4997,8,2.1654,-0.75,-0.3748,0.1249,5,3U1D,2.0,True,1.853,0,False,right,0.0,0.363,0.5799,0.2169,1.038,1.6298,0.5918,V
9,0.4997,1.1993,2,0.5913,0.4248,0.6163,9,2.232,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,1.767,0,False,left,-0.05,1.8197,1.8696,0.0499,0.5197,1.1615,0.6418,V
10,0.4997,1.1993,1,0.4747,0.4081,0.7829,10,2.2903,-0.75,-0.3748,0.1249,5,2U1D,1.0,False,2.416,0,False,left,0.05,0.4323,0.6489,0.2166,1.3659,2.0074,0.6415,V
11,0.4997,1.1993,2,0.4997,0.4414,0.8829,11,3.1982,0.75,0.3748,0.8745,5,3D1U,2.0,True,1.503,0,False,right,0.0,1.9767,2.8014,0.8247,0.4596,1.0513,0.5916,A
12,0.4997,0.0999,2,0.4164,0.4664,0.5081,12,1.9406,-0.9,-0.4498,0.05,5,2U1D,1.0,True,2.125,0,False,left,-0.05,1.5364,1.5364,0.0,0.3449,0.9868,0.6419,V
13,0.4997,0.0999,1,0.5913,0.5081,0.8412,13,3.3148,0.75,0.3748,0.8745,5,3D1U,1.0,True,2.322,0,False,left,0.05,0.5468,1.5137,0.9669,2.2889,2.9303,0.6415,A
14,0.4997,0.0999,2,0.5664,0.4664,0.533,14,2.2654,-0.6,-0.2998,0.1999,5,3U1D,1.0,True,4.505,0,False,left,0.0,1.6891,1.8392,0.15,0.5223,1.1138,0.5915,A
15,0.4997,1.1993,2,0.6163,0.5414,0.8829,15,2.6402,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,1.782,0,False,left,-0.05,2.1159,2.1656,0.0498,0.5491,1.191,0.6419,A
16,0.4997,1.1993,1,0.4747,0.4498,0.8745,16,3.0983,0.6,0.2998,0.7996,5,2D1U,1.0,True,2.807,0,False,left,0.05,0.4347,1.3266,0.8919,2.1349,2.7765,0.6416,A
17,0.4997,1.1993,1,0.4081,0.633,0.7829,17,2.5236,-0.6,-0.2998,0.1999,5,3U1D,2.0,True,1.134,0,False,right,0.0,0.3627,0.6543,0.2916,1.3965,1.9877,0.5912,A
18,0.4997,1.1993,1,0.583,0.4664,0.8079,18,3.1566,0.6,0.2998,0.7996,5,3D1U,1.0,True,0.48,0,False,left,-0.05,0.5404,1.4317,0.8913,2.1732,2.8146,0.6414,V
19,0.4997,1.1993,2,0.5081,0.3998,0.7829,19,2.2904,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,3.059,0,False,left,0.05,1.9063,1.9562,0.05,0.4399,1.0815,0.6416,A
20,0.4997,0.0999,2,0.4331,0.5997,0.658,20,2.2405,-0.9,-0.4498,0.05,5,2U1D,1.0,True,2.409,0,False,left,0.0,1.6838,1.6838,0.0,0.3927,0.9841,0.5914,A
21,0.4997,0.0999,2,0.5664,0.5164,0.533,21,2.9151,0.6,0.2998,0.7996,5,2D1U,2.0,True,2.955,0,False,right,-0.05,1.7149,2.4648,0.75,0.498,1.14,0.6419,V
22,0.4997,0.0999,1,0.5997,0.5081,0.5664,22,2.2655,-0.81,-0.4081,0.0916,5,2U1D,2.0,True,1.653,1,True,right,0.05,0.5561,0.7392,0.1831,1.2394,1.8812,0.6417,A
23,0.4997,1.1993,1,0.5664,0.6413,0.5913,23,2.4986,-0.6,-0.2998,0.1999,5,3U1D,2.0,True,1.343,0,False,right,0.0,0.5236,0.8154,0.2917,1.3653,1.9569,0.5917,V
24,0.4997,0.0999,1,0.4498,0.4997,0.583,24,2.1321,-0.8,-0.3998,0.0999,5,lapse_rate,2.0,True,0.512,0,False,right,-0.05,0.4066,0.598,0.1914,1.1145,1.7564,0.6418,A
25,0.4997,1.1993,2,0.633,0.5497,0.5164,25,2.9234,0.45,0.2249,0.7246,5,2D1U,2.0,True,0.291,0,False,right,0.05,1.762,2.4371,0.6751,0.5618,1.2037,0.6419,V
26,0.4997,1.1993,1,0.6413,0.4498,0.7996,26,3.19,0.6,0.2998,0.7996,5,3D1U,1.0,True,1.678,0,False,left,0.0,0.6016,1.4928,0.8912,2.2513,2.8427,0.5914,V
27,0.4997,0.0999,1,0.5664,0.4997,0.5997,27,2.2571,-0.81,-0.4081,0.0916,5,2U1D,2.0,True,0.824,1,True,right,-0.05,0.5235,0.7068,0.1833,1.2401,1.8817,0.6416,A
28,0.4997,0.0999,1,0.4248,0.5164,0.6746,28,2.8401,0.45,0.2249,0.7246,5,2D1U,2.0,False,0.934,0,False,right,0.05,0.3819,1.1984,0.8164,1.8066,2.4484,0.6418,V
29,0.4997,0.0999,2,0.4164,0.5414,0.5497,29,2.8068,0.6,0.2998,0.7996,5,3D1U,2.0,True,1.027,0,False,right,0.0,1.5585,2.3082,0.7497,0.375,0.9667,0.5917,V
30,0.4997,0.0999,2,0.5164,0.583,0.5081,30,2.2071,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,0.32,0,False,left,-0.05,1.6379,1.6877,0.0499,0.4461,1.0878,0.6417,A
31,0.4997,1.1993,1,0.5747,0.4664,0.5747,31,2.3904,-0.45,-0.2249,0.2749,5,3U1D,2.0,True,0.272,0,False,right,0.05,0.5339,0.9006,0.3667,1.4088,2.0506,0.6418,A
32,0.4997,1.1993,1,0.4664,0.6413,0.8829,32,2.6319,-0.72,-0.3581,0.1416,5,2U1D,2.0,True,0.659,1,False,right,0.0,0.4219,0.6553,0.2334,1.4971,2.0884,0.5913,A
33,0.4997,1.1993,1,0.558,0.4914,0.8579,33,2.6819,-0.45,-0.2249,0.2749,5,3U1D,2.0,True,0.575,0,False,right,-0.05,0.5186,0.8853,0.3667,1.6771,2.3188,0.6417,A
34,0.4997,0.0999,2,0.5913,0.533,0.8995,34,3.2481,0.45,0.2249,0.7246,5,3D1U,2.0,True,0.436,0,False,right,0.05,2.1076,2.7829,0.6754,0.5247,1.1661,0.6414,V
35,0.4997,0.0999,2,0.5164,0.5497,0.5497,35,3.015,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.16,0,False,right,0.0,1.6606,2.5103,0.8497,0.4769,1.0689,0.592,A
36,0.4997,0.0999,2,0.533,0.558,0.5414,36,2.8983,0.54,0.2665,0.7662,5,2D1U,1.0,False,2.117,1,True,left,-0.05,1.6856,2.402,0.7164,0.4604,1.1022,0.6418,A
37,0.4997,0.0999,2,0.4498,0.6496,0.7329,37,3.1482,0.63,0.3165,0.8162,5,2D1U,1.0,False,1.186,1,False,left,0.05,1.7979,2.5649,0.767,0.3811,1.0226,0.6415,V
38,0.4997,1.1993,2,0.4081,0.4747,0.7496,38,2.407,-0.45,-0.2249,0.2749,5,3U1D,1.0,True,0.468,0,False,left,0.0,1.7462,1.9706,0.2245,0.3627,0.9543,0.5916,V
39,0.4997,1.1993,2,0.5164,0.633,0.8745,39,3.2482,0.45,0.2249,0.7246,5,3D1U,1.0,False,1.191,0,False,left,-0.05,2.003,2.6777,0.6747,0.4447,1.086,0.6414,V
40,0.4997,0.0999,2,0.533,0.5414,0.5997,40,2.2737,-0.8,-0.3998,0.0999,5,lapse_rate,1.0,True,0.496,0,False,left,0.05,1.7499,1.8,0.0502,0.4666,1.1082,0.6416,V
41,0.4997,1.1993,1,0.4498,0.608,0.8745,41,2.5736,-0.72,-0.3581,0.1416,5,2U1D,1.0,False,2.037,1,False,left,0.0,0.4047,0.638,0.2333,1.4715,2.0632,0.5916,A
42,0.4997,0.0999,1,0.4831,0.4581,0.6496,42,2.2071,-0.774,-0.3831,0.1166,5,2U1D,2.0,True,1.653,2,True,right,-0.05,0.4364,0.6442,0.2079,1.228,1.8696,0.6416,A
43,0.4997,0.0999,2,0.4997,0.6247,0.6496,43,2.3736,-0.8,-0.3998,0.0999,5,lapse_rate,2.0,False,2.02,0,False,right,0.05,1.7625,1.8123,0.0498,0.429,1.0705,0.6415,A
44,0.4997,0.0999,2,0.558,0.4997,0.8079,44,3.2232,0.72,0.3581,0.8579,5,2D1U,2.0,True,1.954,1,False,right,0.0,1.9534,2.7615,0.8081,0.5118,1.1034,0.5917,A
45,0.4997,0.0999,1,0.4164,0.5497,0.7829,45,2.5985,-0.3,-0.1499,0.3498,5,3U1D,2.0,True,2.066,0,False,right,-0.05,0.3732,0.8148,0.4417,1.531,2.1731,0.6421,V
46,0.4997,1.1993,2,0.4914,0.5081,0.8995,46,3.1649,0.54,0.2665,0.7662,5,3D1U,1.0,False,2.713,1,True,left,0.05,2.0057,2.7224,0.7167,0.4227,1.0643,0.6416,V
47,0.4997,1.1993,2,0.608,0.6163,0.533,47,3.1565,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.231,0,False,right,0.0,1.7278,2.5781,0.8503,0.5616,1.1532,0.5917,A
48,0.4997,1.1993,1,0.3998,0.5497,0.7662,48,3.0733,0.72,0.3581,0.8579,5,2D1U,2.0,False,1.098,1,False,right,-0.05,0.3526,1.3026,0.95,2.0027,2.6448,0.6421,A
49,0.4997,1.1993,1,0.4914,0.4914,0.658,49,2.2571,-0.774,-0.3831,0.1166,5,2U1D,2.0,True,1.619,2,True,right,0.05,0.4502,0.6589,0.2087,1.2501,1.8918,0.6417,A
50,0.4997,0.0999,1,0.4747,0.6496,0.5747,50,3.0149,0.63,0.3165,0.8162,5,3D1U,1.0,True,1.054,1,False,left,0.0,0.4291,1.3376,0.9085,1.8704,2.4624,0.592,V
51,0.4997,0.0999,2,0.4248,0.5913,0.7329,51,2.5985,-0.3,-0.1499,0.3498,5,3U1D,1.0,True,0.223,0,False,left,-0.05,1.7767,2.0761,0.2994,0.3597,1.001,0.6414,V
52,0.4997,0.0999,2,0.5497,0.4747,0.7662,52,3.1065,0.63,0.3165,0.8162,5,3D1U,2.0,True,0.162,1,False,right,0.05,1.9338,2.7006,0.7668,0.4838,1.1257,0.6418,A
53,0.4997,1.1993,2,0.6496,0.5164,0.533,53,2.3403,-0.72,-0.3581,0.1416,5,2U1D,1.0,True,2.467,3,True,left,0.0,1.771,1.8626,0.0916,0.6046,1.1962,0.5916,A
54,0.4997,0.0999,1,0.6247,0.6163,0.6996,54,2.5402,-0.8,-0.3998,0.0999,5,lapse_rate,2.0,True,1.831,0,False,right,-0.05,0.5792,0.7707,0.1915,1.4042,2.0457,0.6416,V
55,0.4997,1.1993,2,0.633,0.4414,0.7163,55,2.6402,-0.3,-0.1499,0.3498,5,3U1D,2.0,False,1.576,0,False,right,0.05,1.9613,2.261,0.2997,0.561,1.2027,0.6417,V
56,0.4997,1.1993,2,0.5247,0.5497,0.533,56,3.0149,0.81,0.4081,0.9078,5,2D1U,2.0,True,0.159,1,False,right,0.0,1.645,2.5032,0.8582,0.4782,1.07,0.5917,A
57,0.4997,0.0999,2,0.5913,0.4414,0.5247,57,2.8733,0.63,0.3165,0.8162,5,3D1U,1.0,False,0.273,1,False,left,-0.05,1.7283,2.4945,0.7662,0.52,1.1615,0.6415,A
58,0.4997,0.0999,1,0.5247,0.5664,0.7996,58,3.2982,0.81,0.4081,0.9078,5,2D1U,1.0,True,2.16,1,False,left,0.05,0.4852,1.4851,0.9999,2.2186,2.8602,0.6417,V
59,0.4997,0.0999,1,0.4581,0.5081,0.608,59,2.2155,-0.72,-0.3581,0.1416,5,2U1D,2.0,True,1.052,3,True,right,0.0,0.4109,0.6444,0.2335,1.2107,1.8022,0.5915,V
60,0.4997,1.1993,2,0.4498,0.533,0.5414,60,2.3321,-0.39,-0.1916,0.3082,5,3U1D,2.0,False,1.15,1,True,right,-0.05,1.6053,1.8635,0.2583,0.3801,1.022,0.6418,V
61,0.4997,0.0999,1,0.608,0.6413,0.5997,61,3.2482,0.8,0.3998,0.8995,5,lapse_rate,1.0,True,0.268,0,False,left,0.05,0.5662,1.5577,0.9915,2.0909,2.7328,0.6419,V
62,0.4997,1.1993,2,0.5664,0.5247,0.7996,62,2.557,-0.666,-0.3332,0.1666,5,2U1D,1.0,True,1.147,3,False,left,0.0,1.9518,2.0685,0.1166,0.5181,1.1098,0.5917,V
63,0.4997,1.1993,1,0.4164,0.6413,0.5247,63,2.9566,0.756,0.3748,0.8745,5,2D1U,1.0,True,0.778,2,True,left,-0.05,0.3747,1.3412,0.9666,1.7995,2.4412,0.6417,V
64,0.4997,0.0999,1,0.6163,0.5081,0.8912,64,3.3732,0.72,0.3581,0.8579,5,3D1U,1.0,True,1.578,1,False,left,0.05,0.5749,1.5248,0.9499,2.3495,2.991,0.6416,A
65,0.4997,1.1993,2,0.5997,0.5747,0.6663,65,3.2399,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.665,0,False,right,0.0,1.8539,2.7035,0.8496,0.5538,1.1454,0.5917,A
66,0.4997,0.0999,1,0.5497,0.6163,0.7829,66,2.7068,-0.48,-0.2415,0.2582,5,3U1D,2.0,True,2.387,1,False,right,-0.05,0.5025,0.8522,0.3497,1.5693,2.2108,0.6415,V
67,0.4997,0.0999,2,0.5747,0.633,0.608,67,3.1733,0.72,0.3581,0.8579,5,3D1U,1.0,False,2.183,1,False,left,0.05,1.7982,2.6068,0.8086,0.5066,1.1485,0.6419,V
68,0.4997,1.1993,1,0.5913,0.4248,0.8579,68,2.5403,-0.666,-0.3332,0.1666,5,2U1D,1.0,False,3.39,3,False,left,0.0,0.5456,0.8035,0.258,1.6205,2.212,0.5915,A
69,0.4997,1.1993,1,0.4831,0.5747,0.5081,69,2.3238,-0.48,-0.2415,0.2582,5,3U1D,2.0,True,0.583,1,False,right,-0.05,0.442,0.7921,0.3501,1.234,1.8752,0.6412,A
70,0.4997,1.1993,1,0.4248,0.4498,0.7579,70,3.0067,0.756,0.3748,0.8745,5,2D1U,1.0,True,1.421,2,True,left,0.05,0.3799,1.3465,0.9666,2.0382,2.6801,0.6419,V
71,0.4997,0.0999,2,0.5414,0.4081,0.5164,71,2.8651,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,1.413,0,False,right,0.0,1.6471,2.4975,0.8504,0.4973,1.089,0.5917,A
72,0.4997,0.0999,1,0.533,0.4414,0.5664,72,2.2987,-0.48,-0.2415,0.2582,5,3U1D,2.0,True,1.892,1,False,right,-0.05,0.4931,0.843,0.3498,1.3431,1.9846,0.6415,V
73,0.4997,1.1993,2,0.633,0.4498,0.5247,73,3.0067,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.895,0,False,right,0.05,1.7707,2.6204,0.8497,0.5621,1.2039,0.6418,V
74,0.4997,0.0999,1,0.4581,0.4914,0.5247,74,2.8234,0.702,0.3498,0.8495,5,2D1U,2.0,False,1.752,2,False,right,0.0,0.4117,1.353,0.9413,1.8368,2.4282,0.5915,A
75,0.4997,0.0999,2,0.4331,0.4747,0.7829,75,2.332,-0.72,-0.3581,0.1416,5,2U1D,2.0,False,3.153,4,True,right,-0.05,1.8337,1.9254,0.0917,0.3672,1.0088,0.6417,V
76,0.4997,1.1993,2,0.5164,0.6163,0.608,76,3.1482,0.81,0.4081,0.9078,5,3D1U,2.0,True,2.22,1,False,right,0.05,1.741,2.5992,0.8582,0.4493,1.091,0.6416,A
77,0.4997,1.1993,2,0.5247,0.608,0.7829,77,2.6985,-0.426,-0.2165,0.2832,5,3U1D,1.0,True,0.606,2,True,left,0.0,1.8988,2.1322,0.2333,0.4819,1.0738,0.5919,A
78,0.4997,1.1993,2,0.4831,0.4581,0.5497,78,2.8984,0.81,0.4081,0.9078,5,3D1U,2.0,True,0.261,1,False,right,-0.05,1.6455,2.5035,0.858,0.4117,1.0535,0.6417,V
79,0.4997,0.0999,1,0.4581,0.4914,0.7496,79,3.0733,0.756,0.3748,0.8745,5,2D1U,2.0,False,0.372,3,True,right,0.05,0.417,1.3838,0.9668,2.0668,2.709,0.6421,A
80,0.4997,0.0999,1,0.4164,0.4414,0.7496,80,2.207,-0.8,-0.3998,0.0999,5,lapse_rate,2.0,True,0.823,0,False,right,0.0,0.3738,0.5652,0.1914,1.2736,1.8651,0.5915,V
81,0.4997,0.0999,1,0.5997,0.4414,0.8329,81,2.4903,-0.774,-0.3831,0.1166,5,2U1D,2.0,True,2.566,4,False,right,-0.05,0.5584,0.7667,0.2083,1.5332,2.1747,0.6415,A
82,0.4997,0.0999,2,0.4081,0.6496,0.6996,82,3.1648,0.81,0.4081,0.9078,5,3D1U,2.0,True,1.286,1,False,right,0.05,1.7244,2.5827,0.8583,0.3411,0.9828,0.6417,V
83,0.4997,1.1993,2,0.5747,0.4498,0.6247,83,3.0567,0.81,0.4081,0.9078,5,2D1U,2.0,True,2.608,3,False,right,0.0,1.793,2.6513,0.8583,0.5346,1.1263,0.5918,A
84,0.4997,0.0999,1,0.5497,0.4498,0.7329,84,3.1316,0.8,0.3998,0.8995,5,lapse_rate,1.0,True,1.975,0,False,left,-0.05,0.507,1.4988,0.9919,2.1655,2.8067,0.6412,V
85,0.4997,1.1993,1,0.4164,0.558,0.7746,85,2.3653,-0.774,-0.3831,0.1166,5,2U1D,1.0,False,1.313,4,False,left,0.05,0.3716,0.58,0.2084,1.2882,1.9301,0.6418,A
86,0.4997,1.1993,1,0.5164,0.4248,0.608,86,2.3321,-0.426,-0.2165,0.2832,5,3U1D,2.0,True,0.589,2,True,right,0.0,0.4751,0.85,0.3749,1.4168,2.0083,0.5915,A
87,0.4997,0.0999,1,0.6163,0.4331,0.7413,87,2.5736,-0.426,-0.2165,0.2832,5,3U1D,2.0,True,0.748,2,True,right,-0.05,0.5725,0.9473,0.3748,1.6226,2.2642,0.6416,V
88,0.4997,0.0999,1,0.6413,0.4331,0.8579,88,3.3065,0.756,0.3748,0.8745,5,3D1U,1.0,True,1.165,2,True,left,0.05,0.6,1.5666,0.9666,2.3581,3.0,0.6418,V
89,0.4997,0.0999,2,0.6163,0.4081,0.8912,89,3.3148,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.208,0,False,right,0.0,2.0958,2.9454,0.8496,0.5709,1.1625,0.5915,V
90,0.4997,0.0999,1,0.4331,0.4914,0.6746,90,2.1821,-0.828,-0.4164,0.0833,5,2U1D,2.0,True,3.346,4,False,right,-0.05,0.3904,0.5654,0.1751,1.1737,1.8151,0.6414,V
91,0.4997,1.1993,2,0.6247,0.4997,0.6996,91,3.2315,0.81,0.4081,0.9078,5,2D1U,2.0,True,3.622,3,False,right,0.05,1.9383,2.7972,0.8588,0.5555,1.1969,0.6414,V
92,0.4997,1.1993,1,0.4331,0.5664,0.6996,92,2.5153,-0.372,-0.1832,0.3165,5,3U1D,1.0,False,1.209,2,False,left,0.0,0.3884,0.7969,0.4086,1.4555,2.0465,0.591,V
93,0.4997,1.1993,2,0.4581,0.5497,0.8662,93,3.2482,0.756,0.3748,0.8745,5,3D1U,2.0,True,0.577,2,True,right,-0.05,1.943,2.7679,0.8249,0.393,1.0347,0.6417,V
94,0.4997,1.1993,1,0.5664,0.4581,0.8329,94,3.2566,0.8,0.3998,0.8995,5,lapse_rate,1.0,True,1.002,0,False,left,0.05,0.5235,1.5151,0.9916,2.2818,2.9235,0.6416,V
95,0.4997,0.0999,1,0.6413,0.6163,0.7246,95,3.3564,0.756,0.3748,0.8745,5,2D1U,1.0,True,0.913,4,True,left,0.0,0.5977,1.564,0.9664,2.2474,2.8388,0.5914,V
96,0.4997,0.0999,1,0.4664,0.4331,0.5247,96,2.0072,-0.828,-0.4164,0.0833,5,2U1D,2.0,True,0.931,4,False,right,-0.05,0.4247,0.5993,0.1746,1.0572,1.6995,0.6423,V
97,0.4997,1.1993,2,0.4997,0.608,0.6413,97,3.1482,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.162,0,False,right,0.05,1.755,2.6049,0.85,0.4303,1.0716,0.6413,V
98,0.4997,0.0999,1,0.4081,0.4831,0.5497,98,2.0572,-0.774,-0.3831,0.1166,5,2U1D,2.0,True,0.23,5,True,right,0.0,0.3655,0.5734,0.2079,1.0819,1.674,0.5921,A
99,0.4997,1.1993,1,0.5414,0.5164,0.8662,99,3.2982,0.756,0.3748,0.8745,5,2D1U,1.0,True,0.739,4,True,left,-0.05,0.498,1.4647,0.9668,2.2648,2.9064,0.6416,V
100,0.4997,1.1993,2,0.4664,0.5664,0.6413,100,3.0483,0.756,0.3748,0.8745,5,3D1U,2.0,True,0.168,2,True,right,0.05,1.7202,2.5449,0.8247,0.3956,1.037,0.6414,V
101,0.4997,1.1993,1,0.5164,0.4914,0.683,101,2.4737,-0.426,-0.2165,0.2832,5,3U1D,2.0,True,0.578,3,True,right,0.0,0.4764,0.8515,0.3752,1.4928,2.0842,0.5914,V
102,0.4997,0.0999,1,0.5414,0.5081,0.5497,102,2.2155,-0.774,-0.3831,0.1166,5,2U1D,2.0,True,0.164,5,True,right,-0.05,0.5006,0.7085,0.2079,1.192,1.8339,0.6419,A
103,0.4997,0.0999,1,0.4414,0.558,0.5247,103,2.1237,-0.8,-0.3998,0.0999,5,lapse_rate,2.0,True,0.599,0,False,right,0.05,0.3963,0.5882,0.1919,1.0461,1.6884,0.6423,V
104,0.4997,0.0999,1,0.5081,0.5164,0.8829,104,3.2566,0.702,0.3498,0.8495,5,2D1U,1.0,True,1.867,4,False,left,0.0,0.4677,1.4091,0.9414,2.251,2.8427,0.5917,A
105,0.4997,0.0999,1,0.6413,0.4747,0.7496,105,3.2148,0.702,0.3498,0.8495,5,3D1U,2.0,False,2.408,2,False,right,-0.05,0.5976,1.5391,0.9415,2.2222,2.8642,0.642,V
106,0.4997,1.1993,2,0.4831,0.5414,0.6163,106,2.4237,-0.426,-0.2165,0.2832,5,3U1D,1.0,True,0.741,3,True,left,0.05,1.715,1.9483,0.2333,0.4152,1.0568,0.6417,V
107,0.4997,1.1993,1,0.6247,0.633,0.8329,107,2.7319,-0.72,-0.3581,0.1416,5,2U1D,2.0,True,0.284,5,False,right,0.0,0.5816,0.815,0.2334,1.6068,2.1984,0.5916,A
108,0.4997,1.1993,2,0.4664,0.5997,0.7829,108,2.6319,-0.426,-0.2165,0.2832,5,3U1D,2.0,False,1.409,3,True,right,-0.05,1.8679,2.1012,0.2333,0.4012,1.0428,0.6416,A
109,0.4997,0.0999,2,0.4997,0.608,0.5497,109,3.0316,0.756,0.3748,0.8745,5,3D1U,2.0,True,0.517,3,True,right,0.05,1.6666,2.4916,0.825,0.4333,1.0749,0.6417,A
110,0.4997,1.1993,1,0.5081,0.4581,0.5664,110,2.9318,0.8,0.3998,0.8995,5,lapse_rate,2.0,False,1.417,0,False,right,0.0,0.463,1.4543,0.9914,1.9794,2.5713,0.5919,A
111,0.4997,0.0999,1,0.633,0.5747,0.5664,111,3.1233,0.702,0.3498,0.8495,5,2D1U,1.0,True,2.626,4,False,left,-0.05,0.5923,1.5343,0.942,2.0344,2.6759,0.6416,A
112,0.4997,0.0999,2,0.5164,0.4997,0.6247,112,3.015,0.756,0.3748,0.8745,5,3D1U,2.0,True,0.413,3,True,right,0.05,1.754,2.579,0.825,0.4459,1.0871,0.6412,A
113,0.4997,1.1993,2,0.5664,0.5747,0.558,113,3.0234,0.648,0.3248,0.8246,5,2D1U,1.0,False,1.81,4,False,left,0.0,1.7128,2.488,0.7752,0.5211,1.1129,0.5918,V
114,0.4997,1.1993,2,0.5497,0.4914,0.8829,114,2.6819,-0.48,-0.2415,0.2582,5,3U1D,1.0,True,0.872,3,False,left,-0.05,2.0442,2.2526,0.2084,0.4772,1.1191,0.6419,A
115,0.4997,0.0999,2,0.5664,0.5414,0.7579,115,3.2649,0.8,0.3998,0.8995,5,lapse_rate,2.0,True,0.161,0,False,right,0.05,1.9377,2.7881,0.8504,0.4963,1.1379,0.6416,V
116,0.4997,1.1993,2,0.608,0.558,0.7996,116,2.6069,-0.72,-0.3581,0.1416,5,2U1D,1.0,True,0.639,5,False,left,0.0,1.9947,2.0866,0.0919,0.5615,1.1532,0.5917,A
117,0.4997,0.0999,1,0.5747,0.5247,0.7996,117,3.2482,0.702,0.3498,0.8495,5,2D1U,1.0,True,2.434,5,True,left,-0.05,0.5344,1.4763,0.9419,2.2094,2.8511,0.6417,V
118,0.4997,0.0999,2,0.4498,0.5997,0.6163,118,2.3321,-0.666,-0.3332,0.1666,5,2U1D,1.0,True,1.123,5,False,left,0.05,1.6845,1.8009,0.1164,0.385,1.0262,0.6412,V
